prior for non faulty data,accuracy,false positive
0.519,0.3717857142857143,0.0
0.52,0.3717857142857143,0.0
0.521,0.3717857142857143,0.0
0.522,0.3717857142857143,0.0
0.523,0.3717857142857143,0.0
0.524,0.3717857142857143,0.0
0.525,0.3717857142857143,0.0
0.526,0.3717857142857143,0.0
0.527,0.3717857142857143,0.0
0.528,0.3717857142857143,0.0
0.529,0.3717857142857143,0.0
0.53,0.3717857142857143,0.0
0.531,0.3717857142857143,0.0
0.532,0.3717857142857143,0.0
0.533,0.3717857142857143,0.0
0.534,0.3717857142857143,0.0
0.535,0.3717857142857143,0.0
0.536,0.3717857142857143,0.0
0.537,0.3717857142857143,0.0
0.538,0.3717857142857143,0.0
0.539,0.3717857142857143,0.0
0.54,0.3717857142857143,0.0
0.541,0.3717857142857143,0.0
0.542,0.3717857142857143,0.0
0.543,0.3717857142857143,0.0
0.544,0.3717857142857143,0.0
0.545,0.3717857142857143,0.0
0.546,0.3717857142857143,0.0
0.547,0.3717857142857143,0.0
0.548,0.3717857142857143,0.0
0.549,0.3717857142857143,0.0
0.55,0.3717857142857143,0.0
0.551,0.3717857142857143,0.0
0.552,0.3717857142857143,0.0
0.553,0.3717857142857143,0.0
0.554,0.3717857142857143,0.0
0.555,0.3717857142857143,0.0
0.556,0.3717857142857143,0.0
0.557,0.3717857142857143,0.0
0.558,0.36964285714285716,0.0
0.559,0.36964285714285716,0.0
0.56,0.36964285714285716,0.0
0.561,0.36964285714285716,0.0
0.562,0.36964285714285716,0.0
0.5630000000000001,0.36964285714285716,0.0
0.5640000000000001,0.36964285714285716,0.0
0.5650000000000001,0.36964285714285716,0.0
0.5660000000000001,0.36964285714285716,0.0
0.5670000000000001,0.36964285714285716,0.0
0.5680000000000001,0.36964285714285716,0.0
0.5690000000000001,0.36964285714285716,0.0
0.5700000000000001,0.36964285714285716,0.0
0.5710000000000001,0.36964285714285716,0.0
0.5720000000000001,0.36964285714285716,0.0
0.5730000000000001,0.36964285714285716,0.0
0.5740000000000001,0.3696031746031746,0.0
0.5750000000000001,0.3696031746031746,0.0
0.5760000000000001,0.3696031746031746,0.0
0.577,0.3696031746031746,0.0
0.578,0.3696031746031746,0.0
0.579,0.3696031746031746,0.0
0.58,0.3696031746031746,0.0
0.581,0.3696031746031746,0.0
0.582,0.3696031746031746,0.0
0.583,0.3696031746031746,0.0
0.584,0.3696031746031746,0.0
0.585,0.3696031746031746,0.0
0.586,0.3696031746031746,0.0
0.587,0.3696031746031746,0.0
0.588,0.3696031746031746,0.0
0.589,0.3696031746031746,0.0
0.59,0.3696031746031746,0.0
0.591,0.3696031746031746,0.0
0.592,0.3696031746031746,0.0
0.593,0.3696031746031746,0.0
0.594,0.3696031746031746,0.0
0.595,0.3696031746031746,0.0
0.596,0.3696031746031746,0.0
0.597,0.3696031746031746,0.0
0.598,0.3696031746031746,0.0
0.599,0.3696031746031746,0.0
0.6,0.3696031746031746,0.0
0.601,0.3696031746031746,0.0
0.602,0.3696031746031746,0.0
0.603,0.3696031746031746,0.0
0.604,0.36956349206349204,0.0
0.605,0.36952380952380953,0.0
0.606,0.36952380952380953,0.0
0.607,0.36948412698412697,0.0
0.608,0.36948412698412697,0.0
0.609,0.36948412698412697,0.0
0.61,0.36948412698412697,0.0
0.611,0.36948412698412697,0.0
0.612,0.36948412698412697,0.0
0.613,0.36948412698412697,0.0
0.614,0.36948412698412697,0.0
0.615,0.36948412698412697,0.0
0.616,0.36944444444444446,0.0
0.617,0.36944444444444446,0.0
0.618,0.36944444444444446,0.0
0.619,0.36944444444444446,0.0
0.62,0.36944444444444446,0.0
0.621,0.36944444444444446,0.0
0.622,0.36944444444444446,0.0
0.623,0.36944444444444446,0.0
0.624,0.36944444444444446,0.0
0.625,0.36944444444444446,0.0
0.626,0.36944444444444446,0.0
0.627,0.36944444444444446,0.0
0.628,0.36944444444444446,0.0
0.629,0.36944444444444446,0.0
0.63,0.36944444444444446,0.0
0.631,0.36944444444444446,0.0
0.632,0.36944444444444446,0.0
0.633,0.36944444444444446,0.0
0.634,0.36944444444444446,0.0
0.635,0.36944444444444446,0.0
0.636,0.36944444444444446,0.0
0.637,0.36944444444444446,0.0
0.638,0.36944444444444446,0.0
0.639,0.36944444444444446,0.0
0.64,0.36944444444444446,0.0
0.641,0.36944444444444446,0.0
0.642,0.36944444444444446,0.0
0.643,0.36944444444444446,0.0
0.644,0.36944444444444446,0.0
0.645,0.36944444444444446,0.0
0.646,0.36944444444444446,0.0
0.647,0.3694047619047619,0.0
0.648,0.3694047619047619,0.0
0.649,0.3694047619047619,0.0
0.65,0.3694047619047619,0.0
0.651,0.3694047619047619,0.0
0.652,0.3694047619047619,0.0
0.653,0.3694047619047619,0.0
0.654,0.3694047619047619,0.0
0.655,0.3694047619047619,0.0
0.656,0.3694047619047619,0.0
0.657,0.3694047619047619,0.0
0.658,0.3694047619047619,0.0
0.659,0.3694047619047619,0.0
0.66,0.3694047619047619,0.0
0.661,0.3694047619047619,0.0
0.662,0.3694047619047619,0.0
0.663,0.3694047619047619,0.0
0.664,0.3694047619047619,0.0
0.665,0.3694047619047619,0.0
0.666,0.3694047619047619,0.0
0.667,0.3667063492063492,0.0
0.668,0.3667063492063492,0.0
0.669,0.3667063492063492,0.0
0.67,0.3667063492063492,0.0
0.671,0.3667063492063492,0.0
0.672,0.3667063492063492,0.0
0.673,0.3667063492063492,0.0
0.674,0.3667063492063492,0.0
0.675,0.3667063492063492,0.0
0.676,0.3667063492063492,0.0
0.677,0.3667063492063492,0.0
0.678,0.3667063492063492,0.0
0.679,0.3667063492063492,0.0
0.68,0.3667063492063492,0.0
0.681,0.3667063492063492,0.0
0.682,0.3667063492063492,0.0
0.683,0.3667063492063492,0.0
0.684,0.3667063492063492,0.0
0.685,0.36666666666666664,0.0
0.686,0.36666666666666664,0.0
0.687,0.36666666666666664,0.0
0.6880000000000001,0.36666666666666664,0.0
0.6890000000000001,0.36666666666666664,0.0
0.6900000000000001,0.36666666666666664,0.0
0.6910000000000001,0.36666666666666664,0.0
0.6920000000000001,0.36666666666666664,0.0
0.6930000000000001,0.36666666666666664,0.0
0.6940000000000001,0.36666666666666664,0.0
0.6950000000000001,0.36666666666666664,0.0
0.6960000000000001,0.36666666666666664,0.0
0.6970000000000001,0.36666666666666664,0.0
0.6980000000000001,0.36662698412698413,0.0
0.6990000000000001,0.36662698412698413,0.0
0.7000000000000001,0.36662698412698413,0.0
0.7010000000000001,0.36662698412698413,0.0
0.7020000000000001,0.36662698412698413,0.0
0.7030000000000001,0.36662698412698413,0.0
0.704,0.36662698412698413,0.0
0.705,0.36662698412698413,0.0
0.706,0.36662698412698413,0.0
0.707,0.36662698412698413,0.0
0.708,0.36662698412698413,0.0
0.709,0.36662698412698413,0.0
0.71,0.36662698412698413,0.0
0.711,0.36662698412698413,0.0
0.712,0.36662698412698413,0.0
0.713,0.36662698412698413,0.0
0.714,0.36662698412698413,0.0
0.715,0.36662698412698413,0.0
0.716,0.36662698412698413,0.0
0.717,0.36662698412698413,0.0
0.718,0.36662698412698413,0.0
0.719,0.3665873015873016,0.0
0.72,0.3665873015873016,0.0
0.721,0.3665873015873016,0.0
0.722,0.3665873015873016,0.0
0.723,0.36654761904761907,0.0
0.724,0.36654761904761907,0.0
0.725,0.36654761904761907,0.0
0.726,0.36654761904761907,0.0
0.727,0.36654761904761907,0.0
0.728,0.36654761904761907,0.0
0.729,0.36654761904761907,0.0
0.73,0.36654761904761907,0.0
0.731,0.36654761904761907,0.0
0.732,0.36654761904761907,0.0
0.733,0.36654761904761907,0.0
0.734,0.36654761904761907,0.0
0.735,0.36654761904761907,0.0
0.736,0.36654761904761907,0.0
0.737,0.36654761904761907,0.0
0.738,0.36654761904761907,0.0
0.739,0.36654761904761907,0.0
0.74,0.36654761904761907,0.0
0.741,0.36654761904761907,0.0
0.742,0.36654761904761907,0.0
0.743,0.36654761904761907,0.0
0.744,0.3665079365079365,0.0
0.745,0.3665079365079365,0.0
0.746,0.3665079365079365,0.0
0.747,0.3665079365079365,0.0
0.748,0.3665079365079365,0.0
0.749,0.3665079365079365,0.0
0.75,0.3665079365079365,0.0
0.751,0.3665079365079365,0.0
0.752,0.3665079365079365,0.0
0.753,0.3665079365079365,0.0
0.754,0.3665079365079365,0.0
0.755,0.3665079365079365,0.0
0.756,0.36646825396825394,0.0
0.757,0.36646825396825394,0.0
0.758,0.36646825396825394,0.0
0.759,0.36646825396825394,0.0
0.76,0.36646825396825394,0.0
0.761,0.36646825396825394,0.0
0.762,0.36646825396825394,0.0
0.763,0.36646825396825394,0.0
0.764,0.36646825396825394,0.0
0.765,0.36646825396825394,0.0
0.766,0.36646825396825394,0.0
0.767,0.36646825396825394,0.0
0.768,0.36646825396825394,0.0
0.769,0.36646825396825394,0.0
0.77,0.36646825396825394,0.0
0.771,0.36646825396825394,0.0
0.772,0.36646825396825394,0.0
0.773,0.36646825396825394,0.0
0.774,0.36642857142857144,0.0
0.775,0.36642857142857144,0.0
0.776,0.36642857142857144,0.0
0.777,0.36642857142857144,0.0
0.778,0.36642857142857144,0.0
0.779,0.3663888888888889,0.0
0.78,0.3663888888888889,0.0
0.781,0.3663888888888889,0.0
0.782,0.3663888888888889,0.0
0.783,0.3663888888888889,0.0
0.784,0.3663888888888889,0.0
